FIPS,Population,Area,Land Area,Water Area,Median Age,Median Age (Male),Median Age (Female),Pop 16-19,Pop 16-19 (Dropped Out),Median HH,Median Structure Year,Median Value,Median Gross Rent,Median Rent as Pct of Income,Rented Housing Units,Units No Cars
80010078011,1666,0.1239133,0.1239133,0,30.4,28.1,32.1,71,10,28281,1976,237500,977,42.9000015258789,537,177
80010078012,2549,0.123789,0.123789,0,28.1,29.3,26,189,6,38347,1972,166500,953,34,651,217
80010078021,1448,0.1233388,0.1233388,0,32,28.6,33.9,69,33,24280,1971,256500,835,34.2000007629395,481,138
80010078022,1235,0.06098793,0.06098793,0,38,38.9,27.3,48,0,36250,1973,,1034,27.6000003814697,376,136
80010078023,1706,0.06176554,0.06176554,0,33.4,32.8,35.1,57,25,41837,1971,260000,961,37.7999992370605,450,136
80010079001,2087,0.2302316,0.2302316,0,30.2,30.4,28,131,12,58233,1959,241500,1516,39.2999992370605,300,55
80010079002,516,0.1604058,0.1602753,0.0001305025,32.4,35.7,28.1,0,0,35650,1977,,1043,34.0999984741211,253,18
80010079003,812,0.1099457,0.1099457,0,31,33.2,27.7,60,0,60847,1952,251700,1229,26.2999992370605,108,9
80010079004,2212,0.1421617,0.1421617,0,29.2,30.3,28.7,58,2,34293,1968,215300,1070,42.9000015258789,550,166
80010080001,340,0.1634096,0.1634096,0,47.5,49.4,47.2,0,0,59861,1955,250900,1804,33.7000007629395,78,0
80010080002,1332,0.1257743,0.1257743,0,34.9,31.1,39.5,35,0,31633,1970,,950,32.4000015258789,463,106
80010080003,1164,0.1186013,0.1186013,0,24.6,24.4,24.9,0,0,40781,1955,258700,1493,31.2999992370605,83,5
80010080004,634,0.1492231,0.1492231,0,29.2,21.9,30.5,44,0,59083,1960,306300,1617,,118,0
80010080005,951,0.09531511,0.09531511,0,32.7,25.9,36.1,75,0,,1959,221900,978,37.9000015258789,153,54
80010080006,1397,0.1185411,0.1185411,0,32.1,32.9,29.2,109,0,68097,1954,208800,1487,20.8999996185303,104,0
80010081001,1574,1.042803,1.040255,0.002547888,29.5,32.5,26.9,17,0,40938,2007,32100,1589,39.5,681,64
80010082001,2767,0.3654322,0.3547677,0.01066453,32,32.5,31.6,111,12,70854,1967,261600,1450,34.2000007629395,205,0
80010082002,2347,0.5158078,0.4772157,0.03859207,36.9,36.8,38.1,57,0,72766,1965,232700,1755,39.9000015258789,165,17
80010082003,1462,0.8633052,0.8523175,0.0109877,30.6,34.5,28,19,0,58490,1956,312200,,,73,11
80010083081,1476,1.205757,1.200586,0.005171453,37.2,41.7,35.1,83,7,65333,1976,239400,1357,28.7999992370605,100,0
80010083082,1921,0.2457818,0.2457818,0,29.2,27.2,30.8,79,7,47222,1989,,1188,30.6000003814697,163,9
80010083083,2251,0.2477996,0.2477996,0,35.9,27.7,40.4,159,9,30995,1982,,900,35,499,64
80010083091,399,4.190953,4.18242,0.008533631,20.6,22.1,20.5,55,0,76029,1983,606800,,,27,0
80010083092,2463,0.1775062,0.1775062,0,27.9,31.4,27.5,219,28,56786,1987,48000,1154,28.8999996185303,150,0
80010083093,1389,0.3323888,0.3323888,0,31.4,33.3,27.8,115,0,48618,1977,159800,1212,29.7999992370605,237,43
80010083531,68,30.13551,29.95578,0.1797244,57.8,,,19,0,,,,,,0,0
80010083532,2771,12.02232,11.97281,0.04950448,32,32.5,31.8,147,0,87672,2007,324100,1343,17.7999992370605,161,17
80010083533,1739,0.8386962,0.8343375,0.004358707,34.7,35.3,30.7,46,0,98229,1985,239300,,,85,0
80010083534,2567,0.2961161,0.2961161,0,30.2,31.4,29.5,127,0,61488,1987,229400,1703,29.7000007629395,121,0
80010083535,1393,0.2415729,0.2413254,0.0002474915,28.8,25.9,40.7,15,0,83264,1986,258600,,19,145,0
80010084011,2835,185.9921,184.6506,1.34155,40.1,39.3,40.4,120,0,86417,1997,480300,1219,31.2999992370605,151,17
80010084012,2143,8.029167,7.929595,0.09957228,36.2,37.2,35.1,112,10,59099,1984,242500,1078,25.1000003814697,244,30
80010084021,3285,674.9152,668.3328,6.582472,36.3,41.7,33.7,214,0,90194,2000,390700,1382,26.6000003814697,149,0
80010084022,1856,1.975802,1.974858,0.0009444059,38.2,38.6,37.9,160,0,77056,1988,289000,849,31,58,8
80010085051,1591,0.185424,0.185424,0,30.3,29.4,31,75,0,88203,1966,280600,2044,28.1000003814697,113,0
80010085052,1074,0.1596911,0.1596911,0,40.2,44.9,30.8,17,0,52078,1967,317700,2153,46.5,154,0
80010085053,1192,0.2419776,0.2419776,0,42.8,40.1,45.6,46,0,84737,1964,291500,1231,18.7999992370605,58,0
80010085054,1142,0.1845341,0.1845341,0,35.7,35.6,36,20,20,55387,1966,306800,2064,44.2999992370605,137,0
80010085055,785,0.2355934,0.2355934,0,51.6,50.1,55.8,17,0,78000,1967,239700,,26.2999992370605,54,18
80010085056,1482,0.1808719,0.1734522,0.007419725,29,28.6,33.3,27,0,83750,1959,295800,2041,51,101,0
80010085061,1461,0.1848317,0.1694147,0.01541706,32.2,38.2,26.5,24,0,40710,1974,318900,1076,34.7999992370605,508,81
80010085062,1110,0.0458589,0.0458589,0,35.6,37.8,25,46,0,68026,1972,161000,1568,36.2999992370605,237,0
80010085063,3761,0.3798682,0.3798682,0,28,28.9,27.8,221,0,44911,1988,193500,1298,37.5999984741211,1305,119
80010085064,443,0.05243847,0.05243847,0,84.6,80.8,84.9,0,0,26542,1988,,1074,32.5,239,160
80010085071,2149,0.2998921,0.2998921,0,39.2,38.7,39.2,270,0,94601,1967,224500,1729,26.7000007629395,131,0
80010085072,993,0.1841495,0.1841495,0,30.6,27,33.2,30,0,92500,1966,286200,,,48,0
