FIPS,Population,Area,Land Area,Water Area,Median Age,Median Age (Male),Median Age (Female),Pop 16-19,Pop 16-19 (Dropped Out),Median HH,Median Structure Year,Median Value,Median Gross Rent,Median Rent as Pct of Income,Rented Housing Units,Units No Cars
80010085073,649,0.1270871,0.1270871,0,26.4,22.7,27.2,11,0,43542,,262800,,,54,0
80010085074,1240,0.2079446,0.2079446,0,39.1,39.9,34.4,148,10,90982,1965,285600,,15.6000003814697,100,70
80010085075,1672,0.1904132,0.1904132,0,36.1,38.3,30.1,68,0,67813,1968,282200,1496,51,138,0
80010085081,1028,0.2162813,0.2162813,0,39.3,37.5,44.5,15,0,82017,,280900,,,23,0
80010085082,2550,0.4487253,0.4378677,0.01085758,33.1,31.7,35.5,203,0,100938,1993,335200,1552,39.5,340,8
80010085083,2094,0.3194339,0.3194339,0,34.8,28.7,37.1,206,37,68083,,280500,1901,25.2999992370605,208,0
80010085231,811,5.869221,5.71673,0.152491,54.2,48.3,54.5,70,0,116845,1993,604400,,,17,0
80010085232,4962,63.57824,60.42642,3.151819,45.5,45.1,46.2,169,0,122645,2002,473400,2089,41.7999992370605,103,0
80010085233,3453,8.836128,8.642872,0.1932561,30.2,30.5,28.6,102,0,75515,2004,317800,1487,33.5999984741211,512,16
80010085234,0,0.1785475,0.1785475,0,,,,0,0,,,,,,0,0
80010085241,2035,0.3915771,0.3798605,0.01171666,33.9,28.8,36.3,44,0,108430,1996,284300,1630,21.3999996185303,80,0
80010085242,1543,0.1929847,0.1904823,0.002502328,48,46.8,48.4,64,0,107153,1992,347700,,,35,0
80010085243,1676,0.2212033,0.2212033,0,32.6,21.1,38.3,203,0,80385,1994,322900,1811,34,102,0
80010085244,2411,0.9670983,0.9650755,0.002022789,39.8,44.1,38.8,105,12,170750,2007,519300,,,0,0
80010085245,1493,0.1680475,0.1680475,0,34.2,34,34.2,106,0,123257,1993,339500,,,21,0
80010085261,1702,2.059824,2.047589,0.01223558,41,42.8,40.2,43,0,85205,2000,408800,1708,32.9000015258789,241,51
80010085262,1297,0.2291891,0.2291891,0,39.1,39.4,37.7,109,0,83958,,380400,,,0,0
80010085263,1389,0.1498019,0.1240685,0.02573332,30.1,26.7,41.1,0,0,51964,1994,288300,1694,28.6000003814697,210,0
80010085264,897,0.1643278,0.1643278,0,46.3,41.9,46.6,98,19,135982,1995,437800,,,15,0
80010085265,1630,0.2303679,0.2303679,0,41.4,44.6,38.8,183,0,111167,1993,403800,1798,30.7999992370605,141,33
80010085291,2172,0.6069171,0.4917274,0.1151897,50.8,39,53.6,84,0,80341,2000,336200,,41.5,99,0
80010085292,3191,0.463206,0.4256105,0.03759554,32.9,40.4,32,99,0,73542,2000,343500,1705,27.2999992370605,899,20
80010085293,2083,1.465062,1.430165,0.03489785,27.7,27.2,28.1,126,14,60500,1996,,1443,31.8999996185303,984,36
80010085331,3578,0.4669304,0.4632407,0.003689592,29.9,30.2,29.7,196,0,90694,1996,334600,1738,29.2000007629395,319,0
80010085332,4457,0.8417861,0.8313718,0.01041433,29.9,27.9,30.8,272,35,70423,2000,272600,1668,31.7999992370605,1244,96
80010085341,2656,0.3348575,0.3309019,0.003955617,30.5,29.6,32.4,215,0,96425,1976,294900,2203,31.2999992370605,44,0
80010085342,1062,0.2588769,0.257895,0.0009818579,32.7,37.5,31.1,24,12,78438,1976,284100,,,29,0
80010085343,1228,0.3210995,0.3147343,0.006365281,30.6,30.4,30.8,42,0,115375,1987,302000,2083,21.7999992370605,41,0
80010085351,3883,6.214195,5.8478,0.3663948,32.9,35.6,31.7,224,10,87478,2003,295800,1575,30.2999992370605,285,0
80010085361,3495,2.819872,2.804934,0.01493752,34.7,35.5,33.4,278,5,119333,2006,385000,2098,22.1000003814697,93,0
80010085371,6846,4.660499,4.622045,0.03845346,35,35.1,35,319,0,91808,,337300,1906,32.2999992370605,138,0
80010085381,0,1.029035,1.029035,0,,,,0,0,,,,,,0,0
80010085382,8171,3.413793,3.4094,0.00439307,33.5,33.1,33.6,540,0,112214,2008,378100,2172,18.5,112,0
80010085391,11059,4.794662,4.784253,0.01040931,30.2,29.3,31.3,448,0,94482,2006,328000,2311,33.7000007629395,433,0
80010085401,8029,5.293069,5.054871,0.2381984,36.7,37.7,36,265,43,109390,2006,405000,1929,37.5,183,0
80010085411,6241,14.34326,14.02454,0.3187208,49.5,49.4,49.6,224,0,125673,2007,575000,3501,47.7999992370605,82,0
80010085421,5151,1.459207,1.459207,0,30.1,24.2,33.4,342,28,102443,2005,329900,2111,26.6000003814697,304,0
80010085422,4672,2.26904,2.26904,0,31.5,29.4,38,273,14,95139,2006,388500,2131,28.2000007629395,182,0
80010085431,2868,0.5382747,0.5382747,0,32.7,29.6,32.9,72,0,108214,2003,330700,2243,41.5999984741211,107,0
80010085432,1723,0.4980745,0.4980745,0,28.9,26,41.8,154,0,129471,2005,377200,2262,23.2000007629395,146,0
80010085433,1903,0.2780233,0.2776418,0.0003814689,54.9,52.1,59.6,129,0,57553,1982,282900,,19.7000007629395,439,69
80010085434,1033,1.2608,1.253568,0.007232466,31.9,30.6,33.6,0,0,63393,1990,411800,1247,51,93,0
80010085435,1563,0.1165832,0.1165832,0,20.8,35.3,17.3,185,0,52411,1985,19600,,,65,0
80010085441,5729,1.015337,1.007104,0.008232857,34.9,35.2,34.7,255,9,124511,2006,417400,2168,41.7999992370605,192,10
80010085451,1760,0.2888921,0.2853148,0.003577237,44.9,44.1,47.6,43,0,106250,1984,332000,1727,22.6000003814697,96,0
80010085452,1207,0.1717911,0.1717911,0,35.8,35.6,36.5,91,0,115156,1994,360200,,,18,0
80010085453,1546,0.3854616,0.3667689,0.01869275,41.5,43.3,40.1,92,17,123750,1998,445300,,,23,0
80010085454,1185,0.2087566,0.2087566,0,36.2,31,37,43,0,94000,1994,393300,,,10,0
80010085455,1440,0.1722502,0.1722502,0,40.7,23.7,43.5,53,0,109717,1980,340900,,,67,0
80010085461,1731,0.2434915,0.2434915,0,32.6,31.1,34.4,104,0,78125,1988,268600,1753,26.7000007629395,115,15
80010085462,2195,0.2642425,0.2638611,0.0003814689,35.5,34.1,36,168,0,92411,1990,319300,2056,22.7999992370605,82,0
80010085471,1349,0.1400161,0.1400161,0,33.2,33.7,32.5,46,0,82740,1994,317700,1781,30.2999992370605,30,0
80010085472,2314,0.31981,0.31981,0,34.9,37,34.2,83,0,84271,1986,281800,1628,25,203,0
80010085481,1639,0.4835053,0.4811057,0.002399625,34.8,32.4,36.7,35,0,93958,2005,332500,1200,51,90,0
80010085491,2836,0.3653534,0.3653534,0,31,30,35.2,176,0,90179,1996,276100,2138,29.7000007629395,152,8
80010085492,1186,0.1447833,0.1447833,0,31.6,34.3,30.7,36,0,106875,1994,339900,2119,19,32,0
80010085501,1767,0.2688209,0.263878,0.00494288,45.1,45.4,44.4,84,0,100588,1995,334100,,,0,0
80010085502,1424,0.1912611,0.1912611,0,34.8,32.1,42.7,16,0,71250,1981,268200,1397,27,95,14
80010085503,3463,1.046082,1.027564,0.01851746,37.9,35.9,41.4,121,0,114137,2001,347600,1979,42.4000015258789,112,0
80010085504,1566,0.2116852,0.2116852,0,30.1,30.3,27.8,83,24,87039,1975,334800,2052,28,104,0
80010085511,1569,3.475463,3.374311,0.1011514,38.1,40.2,35.2,78,10,146364,2010,552100,,,16,0
80010086031,1937,0.7453776,0.7135002,0.03187737,31.2,32.8,30.2,191,8,40313,1956,186200,1059,36.9000015258789,485,53
80010086041,3674,0.5821741,0.5800355,0.00213862,36.2,34.7,39.1,189,58,81250,1996,306800,1597,23.7000007629395,151,0
80010086042,1580,0.260222,0.260222,0,30,30.9,29.5,67,0,68047,1972,247100,1754,43.2999992370605,154,0
80010086051,1922,0.391564,0.391564,0,33.7,33.7,33,179,0,53849,1967,270900,1122,28.2000007629395,496,77
80010086052,2356,0.3739009,0.3739009,0,45.5,41.4,46.9,129,0,107031,1991,323400,1724,31,67,0
80010086061,2103,0.3212613,0.3212613,0,35.1,30.5,47.2,85,40,53855,1944,248100,870,33.4000015258789,494,84
80010086062,1241,0.2180412,0.2180412,0,47.2,47.7,39,35,0,70878,1970,283600,1217,27.5,196,0
80010086063,2776,1.013882,0.9424082,0.07147369,30.7,30.6,30.8,138,45,56472,1995,225700,1153,35.4000015258789,620,94
80010087051,2032,0.2435123,0.2435123,0,32.1,28.6,39.4,150,0,62875,1959,283100,990,28,176,45
80010087052,1227,0.1597992,0.1597992,0,40.9,37.9,43.5,82,6,53750,1957,192900,1264,27.7000007629395,137,0
80010087053,1213,0.3571758,0.3571758,0,22.3,18.8,22.5,57,0,43882,1961,210300,1087,17.5,79,0
80010087054,1039,0.1823595,0.1823595,0,33.2,36.9,31.7,30,0,45885,1958,201700,1158,44.4000015258789,157,48
80010087061,1368,0.2384957,0.2384957,0,31.2,26.8,33.3,132,22,36250,1956,214900,1023,34,129,0
80010087062,3321,0.2341381,0.2341381,0,28.3,32.2,21.5,260,0,53938,1964,236400,1257,30,493,0
80010087063,1367,0.255985,0.255985,0,37.1,39.4,35.3,110,0,60824,1960,194600,1307,44.5999984741211,133,29
80010087091,1177,0.2578363,0.2578363,0,52.3,31.7,57.9,34,0,72744,1960,201900,,,37,0
80010087092,1423,0.2372362,0.2359385,0.001297689,27.6,21.8,31.8,128,0,23480,1974,269600,838,34.7000007629395,501,218
80010087093,1578,2.068009,2.021049,0.04696006,25.7,16.7,28.3,99,0,39052,1958,152600,865,35.5999984741211,312,138
80010087094,1352,0.2498544,0.2498544,0,33.7,35.5,30.6,74,17,40923,1959,323700,1084,29.3999996185303,367,16
80010087095,2138,0.2490842,0.2490842,0,26.9,21.9,27.4,120,0,44010,1967,262500,1267,41.7999992370605,311,17
80010088011,720,0.8987748,0.8987748,0,20.2,17.8,20.2,39,4,42656,1961,239100,,,54,0
80010088012,2422,0.245878,0.245878,0,32.8,37.6,32.3,91,30,54225,1956,192100,1375,45.2000007629395,238,8
80010088013,2018,0.3583457,0.3583457,0,27.9,27.9,27.8,48,0,47083,1958,173500,1395,51,294,32
80010088021,2096,2.297929,2.245285,0.05264426,25.5,24.2,36.7,111,22,44971,1989,31900,942,25.2999992370605,154,7
80010088022,2089,0.2703557,0.2703557,0,31.8,30.8,37.2,109,0,95024,1966,209400,1500,33.2999992370605,54,0
80010088023,1211,3.296569,2.722176,0.574393,32,31.4,32.4,55,0,35722,1969,199700,1114,37.2999992370605,87,45
80010089011,820,2.671137,2.524837,0.1462995,39.7,40,39.1,84,14,75313,1958,250000,,,22,0
80010089012,1980,0.6065781,0.6065781,0,24.6,23.5,28.6,111,15,51579,1956,213800,1287,46.9000015258789,205,5
80010090011,2013,0.3433765,0.3433765,0,31.8,31.2,32.3,77,0,62159,1964,232000,1222,31,164,90
80010090012,2407,0.4710991,0.4710991,0,29.2,29.2,29.2,154,57,38674,1968,241800,963,44.4000015258789,324,149
80010090021,3298,0.2271084,0.2271084,0,28.1,25.3,29.6,67,0,56974,1979,201200,1193,23.2999992370605,474,0
80010090022,1943,0.2912033,0.279743,0.01146028,32.2,31.6,32.5,105,81,61532,1991,242000,1018,43.7000007629395,233,20
80010090023,2352,0.1430968,0.1430968,0,31.6,31.9,28.3,104,0,57868,1980,196400,1425,35.7999992370605,398,0
80010090024,1520,0.3504962,0.3482522,0.002244026,29.9,29.4,32,64,19,80515,1974,260300,,,0,0
80010090025,925,0.1777973,0.1777973,0,40,35,50.2,68,30,55735,1974,220200,,,55,0
80010091011,2232,0.4236618,0.4236618,0,36.5,42.6,35.5,108,0,74612,1958,268800,1413,25.7999992370605,129,0
80010091012,1160,0.191631,0.191631,0,35.1,35.5,33.6,9,0,55625,1955,260800,,,33,0
80010091013,1247,0.1016788,0.1016788,0,31.9,31.5,35.1,55,0,79886,1956,240000,,,50,0
80010091031,2665,0.6137407,0.6073213,0.006419335,27.3,28.3,25.2,287,0,53944,1996,55900,1761,36.7999992370605,79,12
80010091032,1770,1.363957,1.231412,0.1325446,25.8,25,32.3,89,0,44871,1994,53800,1112,27.7999992370605,113,0
80010091041,3453,0.525331,0.525331,0,30.1,32.4,27.8,213,39,58750,1994,232400,1278,32.7000007629395,162,16
80010091042,2902,0.4855787,0.4849799,0.0005988445,34.8,35.7,34.1,207,12,82683,1995,260200,1552,32.7999992370605,339,0
80010092021,2127,0.2306181,0.2306181,0,30.5,30.7,30,157,0,55244,1956,250600,1568,37.4000015258789,175,0
80010092022,1440,0.2600587,0.2593753,0.0006834008,33.8,35.7,29.9,115,0,64837,1956,253500,1636,19.8999996185303,152,0
80010092023,987,0.1872032,0.1872032,0,33.9,31.5,36.6,67,11,68059,1958,269100,1244,33.9000015258789,109,28
80010092031,1322,0.2741372,0.2741372,0,29.3,27.4,30.9,84,0,42917,1990,281900,1469,35.7000007629395,454,31
80010092032,1012,0.5090815,0.4891926,0.01988889,25.6,27.2,24.9,92,12,53831,1980,,1258,29.5,432,14
80010092033,2886,0.2735634,0.2735634,0,24.9,24.9,24.7,116,0,42443,1985,,1400,37.2999992370605,875,54
80010092041,3663,0.5036826,0.4857034,0.01797923,27.2,27.3,26.6,63,0,77940,1999,288300,1548,23.8999996185303,960,20
80010092042,1816,0.2500043,0.2488178,0.001186492,41.3,39.8,48,95,0,77679,1992,326400,,,0,0
80010092043,1357,0.2314343,0.2304161,0.001018151,44.1,48.7,34.7,73,0,77663,1993,291400,,,57,0
80010092061,2340,0.5044108,0.5001444,0.004266429,33.9,35.7,32.6,136,0,76087,1999,278000,1614,37.7000007629395,200,0
80010092071,2949,0.3559557,0.3559557,0,30.5,29.9,32.2,149,6,62448,1996,274300,1300,36,591,36
80010092072,1811,0.2539413,0.2539413,0,34.2,34.1,34.2,54,0,69464,,269600,1770,31.7999992370605,91,0
80010093041,1138,0.2231887,0.2231887,0,36.3,37.6,23,0,0,100962,,359200,,,72,0
80010093042,1198,0.2066515,0.2066515,0,38.3,38,39.3,69,0,65413,1967,324700,959,41.2999992370605,193,0
80010093043,963,0.3477561,0.2649468,0.08280926,31.9,31.7,32.6,50,0,54978,1994,302800,1355,30.7999992370605,367,0
80010093044,809,0.3760303,0.3523561,0.02367424,47,56.2,35.9,24,0,84800,1970,274100,,,17,0
80010093045,1648,0.1905028,0.1905028,0,31.3,30.8,36.5,79,0,50656,1972,248500,1150,28.8999996185303,223,12
80010093061,1729,0.3013477,0.3013477,0,41.9,30.6,50.7,146,0,54534,1966,273600,1883,51,169,0
80010093062,1859,0.3554009,0.3422819,0.01311898,40,34.6,44.1,155,0,57639,1965,299000,1594,33.2000007629395,92,30
80010093071,2137,0.4443449,0.4443449,0,32.4,33.7,30.4,25,0,64150,1969,276500,1339,25.6000003814697,338,0
80010093072,1346,0.2482293,0.2482293,0,35.2,31.6,35.3,170,0,68219,1971,298000,1160,28,132,12
80010093081,901,0.132908,0.132908,0,33,32.6,35.2,75,0,97232,1974,260600,1511,37.4000015258789,45,0
80010093082,940,0.1466323,0.1403925,0.006239797,36.9,37.9,30.9,20,0,67750,1955,256900,1419,26.7000007629395,46,0
80010093083,1230,0.1230334,0.1230334,0,40.2,40.6,38.2,77,0,67976,1956,261200,,,37,0
80010093084,1374,0.1690649,0.1690649,0,34.9,34.8,36.2,115,0,48153,1978,253700,1479,42.7999992370605,323,0
80010093091,2591,0.3037416,0.3037416,0,33.7,32.5,35.4,145,0,45690,1992,260500,1122,36.2000007629395,442,83
80010093092,1677,0.1834329,0.1834329,0,42.2,43.4,37.3,175,36,51815,1956,228200,969,51,233,37
80010093101,2234,0.2003739,0.2003739,0,29.5,26.1,30.8,102,0,64788,1962,309900,1481,31.8999996185303,133,0
80010093102,731,0.1460238,0.1438725,0.002151361,41.5,41.2,50.4,16,0,71731,1957,276200,,,12,0
80010093103,1502,0.09877845,0.09877845,0,26.4,28.1,24.8,137,0,75517,1955,250400,1778,24.2999992370605,197,8
80010093104,1823,0.1382234,0.1382234,0,34.9,34,36.6,98,0,52674,1965,311700,1186,36.7000007629395,550,128
80010093161,2368,0.3307162,0.3307162,0,30.5,30.8,29.4,322,0,69042,1990,,,,60,0
80010093162,1323,0.1293184,0.1293184,0,23.7,21.3,24,119,0,50372,2002,46100,,,0,0
80010093163,783,0.1513845,0.1513845,0,69.8,73.3,68.7,0,0,33355,2001,53700,1151,31.6000003814697,41,0
80010093164,1647,0.1147747,0.1147747,0,25.2,29.7,20.9,137,0,46667,1984,,1184,51,170,0
80010093165,1251,0.1450644,0.1450644,0,28.8,29.2,20.9,96,0,45750,1989,48800,1201,21.2000007629395,148,0
80010093181,2579,0.2492641,0.2492641,0,28.9,31.5,26.9,22,0,34325,1992,61300,1014,51,357,62
80010093182,3675,0.2506668,0.2453042,0.005362573,27.1,25.8,27.3,334,49,46109,1982,174100,1198,43.4000015258789,958,41
80010093191,683,0.08456255,0.08456255,0,32.1,22.7,40.7,50,0,29276,1975,267700,763,34.7999992370605,218,28
80010093192,518,0.08128648,0.08128648,0,53.2,54.9,45.1,27,0,51316,1991,206500,1546,36.2000007629395,78,0
80010093193,1394,0.09727226,0.09727226,0,28.2,28.5,27.6,94,6,39271,1993,41600,994,24.7999992370605,143,6
80010093201,1312,0.4922046,0.4900919,0.002112751,29.3,19.9,34.2,123,10,34333,1985,,1152,36.2000007629395,407,28
80010093202,1331,0.2478525,0.2478525,0,29.9,28.5,34,38,0,48721,1983,102500,1274,19.5,177,0
80010093211,1723,0.1674154,0.1674154,0,32.5,37.7,23.2,307,24,40455,1986,36000,908,28.8999996185303,61,0
80010093212,1090,0.1763093,0.1763093,0,34.7,34.3,35,57,16,86750,1977,292500,1645,45.5999984741211,27,0
80010093213,1218,0.1617038,0.1617038,0,27.1,26.6,27.9,12,3,49750,1994,,1377,32.4000015258789,460,17
80010093221,2821,0.2624773,0.2624773,0,33.5,36.2,32.1,132,0,74250,1989,265900,1372,29,241,9
80010093222,2475,0.2355679,0.2355679,0,26.6,22.4,34.2,187,0,41742,1981,28900,988,37.4000015258789,49,0
80010093231,1492,0.2424285,0.2424285,0,32.5,29.3,36.8,98,0,59318,1994,273000,1644,41.7999992370605,252,0
80010093232,864,0.1027047,0.1027047,0,23.7,17,23.9,30,0,48750,1978,,1116,32.2000007629395,333,0
80010093233,712,0.2469764,0.2449795,0.00199692,39.5,34.8,50.3,21,0,69659,1966,315100,,,13,13
80010093234,769,0.2246068,0.2246068,0,32,34,29.8,31,0,39865,1975,,1185,31.6000003814697,300,11
80010093251,1511,0.4978587,0.4970359,0.0008227837,33.8,33.2,34.2,51,0,48026,1990,272700,1425,31.1000003814697,512,36
80010093252,2125,0.5020981,0.4923297,0.009768385,42.7,41,43.4,71,0,144938,1988,598700,1461,23.2999992370605,199,20
80010093253,1879,0.4941359,0.4849517,0.009184212,36.6,39,36.5,19,0,62287,1989,478600,1427,35,437,19
80010093261,1782,0.2167566,0.2167566,0,38.9,40.9,36.8,73,12,78099,1991,368800,1447,27.8999996185303,205,0
80010093262,1035,0.2690144,0.2633896,0.005624737,49.1,39.5,51.5,57,0,103289,1995,406500,1405,26.3999996185303,70,0
80010093271,853,0.2036195,0.2036195,0,41.9,39.9,44.4,7,0,71964,1966,345900,,,8,0
80010093272,1657,0.3366112,0.3142856,0.02232559,29.5,23.8,33.5,56,0,85150,1966,339400,1486,51,105,0
80010093273,1219,0.214257,0.214257,0,32.5,28,37.2,48,0,44063,1975,317300,1057,51,232,52
80010093274,706,0.2608653,0.2444096,0.01645567,48.3,33.8,55.2,18,0,72750,1994,363300,1129,24,45,0
80010094011,1415,0.6536351,0.6526003,0.001034754,33.5,34.2,32.9,109,0,62656,1956,273800,1686,31.1000003814697,138,0
80010094012,1544,0.3084829,0.3084829,0,38.3,38.4,37.6,32,0,55938,1963,265200,1143,31.2000007629395,377,73
80010094013,2447,0.3745052,0.3737288,0.0007764515,34.2,35.3,30.3,188,22,82642,1968,296800,1790,27.2999992370605,128,0
80010094061,1887,0.2541046,0.2541046,0,40.2,40.5,37.8,78,11,81083,1968,259000,1355,47.2999992370605,83,0
80010094062,2699,0.4173807,0.4138911,0.003489591,30.9,28.6,36.2,106,0,73622,1988,330200,1545,28.6000003814697,484,0
80010094071,2002,0.249473,0.249473,0,29,28.8,29.6,134,0,58278,1972,283700,1527,44.4000015258789,248,0
80010094072,1887,0.1645174,0.1645174,0,32.3,38,28.4,97,0,69408,1974,280600,1328,30.6000003814697,354,0
80010094073,1244,0.3175752,0.3175752,0,47.2,49,46.3,83,0,61759,1974,339300,944,28.8999996185303,25,0
80010094081,4754,1.492783,1.469612,0.02317115,37,38.2,36.6,218,11,107093,2002,402000,2201,27.1000003814697,450,48
80010094091,2460,0.5141144,0.5141144,0,41.3,41.8,40.2,98,0,130815,1992,384500,1556,28.2000007629395,64,0
80010094092,3013,0.9702238,0.9676164,0.002607348,53.6,50.9,54.8,0,0,102059,2003,508900,1763,35.4000015258789,255,113
80010094101,1695,0.5369948,0.5344901,0.002504645,48.7,47,50.1,64,0,116188,1986,472400,,,0,0
80010094102,1369,0.5383944,0.5199526,0.01844179,51.7,48.4,55.4,36,0,116528,1978,446200,1600,18.7000007629395,78,43
80010094111,1525,0.2836998,0.2836998,0,44.2,40.5,48.7,29,0,113164,1987,406900,1784,23.6000003814697,42,0
80010094112,1449,0.2113767,0.2113767,0,33.9,30.6,36.5,23,0,72344,1989,316000,1793,32.5,301,0
80010095011,1516,0.1703908,0.1703908,0,38.8,45.2,30.2,87,0,39740,1964,252400,1064,41.7000007629395,406,86
80010095012,1718,0.2587209,0.2587209,0,35.4,35.1,37.2,44,0,61163,1958,267900,1129,36.5999984741211,227,0
80010095021,1634,0.1898959,0.1898959,0,38.5,45.1,36.2,75,0,68466,1956,281000,2028,32.5999984741211,102,0
80010095022,1450,0.2193778,0.2193778,0,33.4,35.9,32.4,55,0,57454,1956,328000,1516,27.5,31,8
80010095023,1893,1.279681,1.211277,0.06840341,33.1,33.1,33.1,90,0,106613,2004,408300,1233,22.1000003814697,127,19
80010095531,2365,0.4085254,0.4085254,0,36.4,35.8,36.7,99,21,65000,1958,276400,978,31.7999992370605,258,24
