FIPS,Population,Area,Land Area,Water Area,Median Age,Median Age (Male),Median Age (Female),Pop 16-19,Pop 16-19 (Dropped Out),Median HH,Median Structure Year,Median Value,Median Gross Rent,Median Rent as Pct of Income,Rented Housing Units,Units No Cars
8067,55617,1699.582,1689.682,9.900655,40.4,39.4,41.5,2931,211,68685,1988,395600,1147,31.7000007629395,21794,489
8069,344786,2634.002,2595.774,38.22715,36,34.8,37.1,20524,447,71881,1989,363800,1297,33.4000015258789,137021,5699
8071,14266,4775.614,4772.938,2.675677,45.9,42.8,49.3,677,62,41817,1971,151100,712,30,6670,716
8073,5585,2586.475,2577.679,8.795546,38,35.5,49.3,145,1,47258,1969,147100,780,30.7000007629395,1518,96
8075,22380,1844.917,1838.599,6.318003,38.2,37.1,40.3,1600,91,53318,1962,157900,786,29.8999996185303,8393,591
8077,151218,3341.073,3328.915,12.15851,39.7,38.1,41.2,8416,553,55379,1985,227000,963,31.1000003814697,61742,2794
8079,824,877.7768,875.7605,2.016288,56.1,55.8,56.2,5,0,62188,1988,308600,720,24.3999996185303,367,11
8081,13127,4750.89,4743.243,7.646141,36.6,35.2,39.9,530,110,57229,1976,182300,779,26.7999992370605,5366,327
8083,26031,2039.854,2029.349,10.50514,45.2,44.2,45.8,1024,86,49470,1983,222800,815,24.7999992370605,10655,227
8085,41686,2242.847,2240.946,1.900881,45.2,43.9,46.3,1876,78,50489,1989,224400,901,28.6000003814697,17140,826
8087,28517,1293.869,1280.485,13.3835,36.2,34.8,37.7,1686,195,53682,1972,201200,835,28.3999996185303,10928,564
8089,18282,1269.703,1261.946,7.757732,39.9,39.7,40.1,1396,171,38169,1961,94900,675,28.8999996185303,7722,844
8091,4796,542.2106,541.593,0.617587,54.1,54.1,54.2,136,0,66417,1994,449000,1223,31,2163,44
8093,17867,2210.706,2193.903,16.8031,50.7,50.2,51.2,572,8,73622,1991,327200,1125,37.2000007629395,6931,93
8095,4290,688.0444,687.9279,0.1165287,37.1,34.4,39.5,203,1,51155,1957,158500,751,18.5,1689,48
8097,17926,973.2004,970.7014,2.499076,41.8,42.5,41.7,801,91,78935,1985,615900,1473,30.2000007629395,7467,433
8099,12022,1644.322,1638.397,5.924806,38.3,35.6,40.3,815,8,41929,1967,106100,697,29.1000003814697,4888,293
8101,165982,2397.766,2386.098,11.66773,39.3,37.8,40.6,8810,558,46783,1973,164600,829,32.5,64314,4806
8103,6384,3222.85,3220.97,1.879588,36.9,37.6,35.9,354,1,54357,1979,197100,770,24.5,2301,64
8105,11305,912.3364,911.9564,0.3800384,42.1,40.8,43.1,761,40,39123,1976,172000,634,26.6000003814697,4823,473
8107,25072,2368.132,2362.02,6.112671,40.2,39.3,41.5,1236,0,77443,1990,535300,1282,27.7000007629395,9603,301
8109,6592,3170.286,3168.566,1.719896,49,49.4,48.1,288,1,38571,1986,152700,631,30.7999992370605,2860,162
8111,589,388.3016,387.5156,0.7860766,51.2,50.5,55.1,9,0,54625,1972,322400,1019,23.1000003814697,289,17
8113,8049,1288.736,1286.727,2.009312,41.8,42.5,41,255,1,67038,1993,479300,1140,30,3552,116
8115,2322,549.404,548.0408,1.363229,44.1,45.3,43.2,121,9,43150,1947,97100,556,29.5,967,51
8117,30649,619.2593,608.339,10.92033,39.1,39.4,38.8,1018,37,79277,1987,579600,1393,29,10641,214
8119,24524,558.952,557.0421,1.909873,50,49.7,50.1,804,0,66592,1988,292700,1102,28.7000007629395,10248,138
8121,4868,2523.955,2518.084,5.871611,41.6,39.4,44.3,230,12,50094,1958,151300,734,23.2000007629395,2087,106
8123,305345,4016.745,3984.929,31.8163,34.4,34.1,34.9,17419,575,74150,1994,299000,1085,29.5,104671,3642
8125,10003,2368.698,2364.398,4.299119,37.8,35.9,41.6,333,13,52022,1962,191800,823,24.3999996185303,4028,177
